"800",9601,▁
"801",9602,▂
"802",9603,▃
"803",9604,▄
"804",9605,▅
"805",9606,▆
"806",9607,▇
"807",9608,█
"80C",9600,▀
"80F",9620,▔
"810",9615,▏
"811",9614,▎
"812",9613,▍
"813",9612,▌
"814",9611,▋
"815",9610,▊
"816",9609,▉
"817",9608,█
"81C",9616,▐
"81F",9621,▕
"888",9617,░
"8AA",9618,▒
"8FF",9619,▓
"903",9623,▗
"90C",9622,▖
"930",9629,▝
"93C",9630,▞
"93F",9631,▟
"9C0",9624,▘
"9C3",9626,▚
"9CF",9625,▙
"9F3",9628,▜
"9FC",9627,▛
"A00",9633,□
"A09",9635,▣
"A0F",9632,■
"A10",9634,▢
"A12",9643,▫
"A1F",9642,▪
"A29",9636,▤
"A29",9640,▨
"A2A",9637,▥
"A2B",9638,▦
"A2E",9639,▧
"A2F",9641,▩
"A41",9715,◳
"A42",9714,◲
"A44",9713,◱
"A48",9712,◰
"A53",9704,◨
"A53",9706,◪
"A59",9707,◫
"A5C",9703,◧
"A5C",9705,◩
"ADB",9689,◙
"AEC",9688,◘
"B00",9734,☆
"B01",9733,★
"B03",10022,✦
"B04",10023,✧
"B05",10025,✩
"B06",10026,✪
"B07",10027,✫
"B08",10028,✬
"B09",10029,✭
"B0A",10030,✮
"B0A",10084,❤
"B0B",10031,✯
"B0C",10032,✰
"B0D",10033,✱
"B0E",10034,✲
"B0F",10035,✳
"B10",10036,✴
"B11",10037,✵
"B12",10038,✶
"B13",10039,✷
"B14",10040,✸
"B15",10041,✹
"B16",10042,✺
"B1A",11240,⯨
"B1B",11241,⯩
"B1C",11242,⯪
"B1D",11243,⯫
"B3B",9691,◛
"B50",11040,⬠
"B51",11039,⬟
"B52",11092,⭔
"B53",11091,⭓
"B64",11041,⬡
"B65",11042,⬢
"B66",11043,⬣
"B80",9645,▭
"B8F",9644,▬
"BA0",9649,▱
"BAF",9648,▰
"BC0",9647,▯
"BCB",9690,◚
"BCF",9646,▮
"BE0",9671,◇
"BE9",9670,◆
"BEA",9672,◈
"BF0",9674,◊
"C00",9661,▽
"C09",9660,▼
"C10",9663,▿
"C19",9662,▾
"C22",9727,◿
"C40",9655,▷
"C49",9654,▶
"C50",9657,▹
"C59",9656,▸
"C60",9659,▻
"C62",9720,◸
"C69",9658,►
"C80",9665,◁
"C89",9664,◀
"C90",9667,◃
"C99",9666,◂
"CA0",9669,◅
"CA2",9722,◺
"CA9",9668,◄
"CC0",9651,△
"CCA",9708,◬
"CCD",9710,◮
"CCE",9709,◭
"CCF",9650,▲
"CD0",9653,▵
"CDF",9652,▴
"CE2",9721,◹
"D80",9675,○
