MissionName,MissionTime,Altitude,Pressure(Atm),Pressure(kPa)
Prodigal A-II,401.283,130933.992520455,7.45508296595822E-09,7.55386281525716E-07
Prodigal A-II,401.343,130875.378875444,7.54193825137512E-09,7.64186893320584E-07
Prodigal A-II,401.403,130816.733341304,7.62919745745899E-09,7.73028432377032E-07
Prodigal A-II,401.463,130758.055917297,7.71688078024316E-09,7.81912945058139E-07
Prodigal A-II,401.523,130699.346602842,7.80497699970912E-09,7.90839294495527E-07
Prodigal A-II,401.583,130640.605397539,7.8934827498513E-09,7.99807139628683E-07
Prodigal A-II,401.643,130523.027311782,8.07171835415693E-09,8.17866862234951E-07
Prodigal A-II,401.763,130464.190430208,8.16144372031296E-09,8.2695828496071E-07
Prodigal A-II,401.823,130405.321655345,8.2515718851341E-09,8.36090521261212E-07
Prodigal A-II,401.823,130346.420980453,8.34209948261479E-09,8.45263230075943E-07
Prodigal A-II,401.943,130287.488405141,8.43302763475688E-09,8.54476525091741E-07
Prodigal A-II,402.003,130228.523934855,8.52436419557334E-09,8.63731202116469E-07
Prodigal A-II,402.063,130169.527569179,8.61608335902157E-09,8.7302464635286E-07
Prodigal A-II,402.123,130110.49930773,8.70820644313675E-09,8.82359017850831E-07
Prodigal A-II,402.183,130051.439149829,8.80072222790037E-09,8.91733179742005E-07
Prodigal A-II,402.303,129933.223142306,8.98690609333029E-09,9.10598259906692E-07
Prodigal A-II,402.363,129874.067291664,9.08058202800957E-09,9.2008997398807E-07
Prodigal A-II,402.423,129814.879542251,9.17464280932431E-09,9.29620682654786E-07
Prodigal A-II,402.483,129755.659893599,9.26909516928563E-09,9.39191068027867E-07
Prodigal A-II,402.543,129696.408345064,9.36391666785649E-09,9.48798856370559E-07
Prodigal A-II,402.603,129637.124896336,9.45911403704798E-09,9.58444729803887E-07
Prodigal A-II,402.663,129577.809546721,9.55468615485827E-09,9.68128574641014E-07
Prodigal A-II,402.723,129518.462295448,9.65064424130587E-09,9.77851527750317E-07
Prodigal A-II,402.843,129399.672086377,9.84366109801855E-09,9.97408960756729E-07
Prodigal A-II,402.903,129340.229127312,9.94072772229659E-09,1.0072442364617E-06
Prodigal A-II,402.963,129280.754264493,1.00381455331545E-08,1.01711509614688E-06
Prodigal A-II,403.023,129221.247497445,1.01359414586368E-08,1.02702426829637E-06
Prodigal A-II,403.083,129161.708825389,1.02340964247119E-08,1.03696982023394E-06
Prodigal A-II,403.143,129102.138248105,1.03326104313799E-08,1.04695175195957E-06
Prodigal A-II,403.203,129042.535764745,1.04314823566389E-08,1.05696994978643E-06
Prodigal A-II,403.263,128982.90137796,1.05307211765037E-08,1.06702532320924E-06
Prodigal A-II,403.383,128863.536892175,1.07302299359359E-08,1.08724054825871E-06
Prodigal A-II,403.443,128803.806788837,1.08305200715367E-08,1.09740244624845E-06
Prodigal A-II,403.503,128744.044776925,1.09311445636895E-08,1.10759822291584E-06
Prodigal A-II,403.563,128684.250855794,1.10321258524315E-08,1.11783015199762E-06
Prodigal A-II,403.623,128624.425024801,1.11334493517386E-08,1.12809675556491E-06
Prodigal A-II,403.683,128564.567283446,1.12350993535848E-08,1.13839644200198E-06
Prodigal A-II,403.743,128504.677631353,1.13371016640127E-08,1.14873182610609E-06
Prodigal A-II,403.803,128444.756067734,1.14394383309927E-08,1.15910108888784E-06
Prodigal A-II,403.923,128324.817211374,1.15421093545248E-08,1.16950423034723E-06
Prodigal A-II,403.983,128264.799908435,1.17484567152491E-08,1.19041237667261E-06
Prodigal A-II,404.043,128204.750691715,1.18521151004115E-08,1.2009155625492E-06
Prodigal A-II,404.103,128144.669560963,1.19560977441094E-08,1.21145160392189E-06
Prodigal A-II,404.163,128084.556515454,1.20604169883631E-08,1.22202175134589E-06
Prodigal A-II,404.223,128024.41155456,1.21650436611244E-08,1.23262304896343E-06
Prodigal A-II,404.283,127964.234677829,1.22700013244323E-08,1.2432578841981E-06
Prodigal A-II,404.343,127904.025884702,1.23752742702607E-08,1.25392466543417E-06
